        4640           2          20
Tue Jan 17 18:20:18 2006
nirspec_dftau_glue.dat

Full Nirspec spectrum of dftau, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
 

Included data files, index, atm. transm cutoff, scale factor:
dftau_coice_dec05.dat 1 0.300000 0.910353
dftau_coice+_dec05.dat 1 0.450000 0.910353
dftau_cop_dec05.dat 2 0.300000 1.61252
dftau_cop+_dec05.dat 2 0.300000 1.61252

     Wavelength     Flux
         um          Jy
 
  4.6470671E+00  1.6522666E+00
  4.6471601E+00  1.5966862E+00
  4.6472530E+00  1.5317812E+00
  4.6473460E+00  1.4956061E+00
  4.6474390E+00  1.4965512E+00
  4.6475320E+00  1.5060800E+00
  4.6476250E+00  1.5028319E+00
  4.6477175E+00  1.5172977E+00
  4.6478105E+00  1.5452542E+00
  4.6479034E+00  1.5064374E+00
  4.6479964E+00  1.4893335E+00
  4.6480894E+00  1.5224714E+00
  4.6481824E+00  1.5240743E+00
  4.6482754E+00  1.5060458E+00
  4.6483684E+00  1.5200992E+00
  4.6484613E+00  1.5315506E+00
  4.6485543E+00  1.5620350E+00
  4.6486473E+00  1.6184194E+00
  4.6487403E+00  1.5913275E+00
  4.6488333E+00  1.5680391E+00
  4.6489263E+00  1.6111332E+00
  4.6490192E+00  1.6957374E+00
  4.6491122E+00           -NaN
  4.6492052E+00           -NaN
  4.6492982E+00  2.0694821E+00
  4.6493912E+00  2.0037193E+00
  4.6494842E+00  1.9086246E+00
  4.6495771E+00  1.8737816E+00
  4.6496701E+00  1.9321010E+00
  4.6497631E+00  1.9767090E+00
  4.6498561E+00  1.9375632E+00
  4.6499491E+00  1.8922577E+00
  4.6500421E+00  1.8003205E+00
  4.6501350E+00  1.7301044E+00
  4.6502280E+00  1.7076259E+00
  4.6503210E+00  1.6484828E+00
  4.6504140E+00  1.6003413E+00
  4.6505070E+00  1.5668674E+00
  4.6506000E+00  1.5497447E+00
  4.6506929E+00  1.5359323E+00
  4.6507864E+00  1.5526004E+00
  4.6508794E+00  1.5762439E+00
