        4629           2          20
Thu Jan 31 16:25:21 2008
nirspec_dltau_glue.dat

Full Nirspec spectrum of dltau, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
done

Included data files, index, atm. transm cutoff, scale factor:
dltau_coice_nov03.dat 1 0.500000 1.33307
dltau_coice+_nov03.dat 1 0.500000 1.25309
dltau_cop_dec07.dat 2 0.700000 0.697314
dltau_cop+_dec07.dat 2 0.700000 0.697314

     Wavelength     Flux
         um          Jy
 
  4.6479311E+00  9.1281128E-01
  4.6480241E+00  9.0488911E-01
  4.6481171E+00  9.0880579E-01
  4.6482100E+00  9.2194581E-01
  4.6483030E+00  9.3115157E-01
  4.6483960E+00  9.2204756E-01
  4.6484890E+00  9.1776508E-01
  4.6485820E+00  9.1562176E-01
  4.6486750E+00  9.2593968E-01
  4.6487679E+00  9.3952101E-01
  4.6488609E+00  9.5130581E-01
  4.6489539E+00  9.7059101E-01
  4.6490469E+00  9.7216070E-01
  4.6491399E+00  9.8435253E-01
  4.6492329E+00  9.8695886E-01
  4.6493258E+00  9.9232143E-01
  4.6494188E+00  1.0010828E+00
  4.6495118E+00           -NaN
  4.6496048E+00  1.0578977E+00
  4.6496978E+00  1.0691671E+00
  4.6497908E+00  1.0586785E+00
  4.6498837E+00  1.0357044E+00
  4.6499767E+00  1.0114586E+00
  4.6500697E+00  1.0109448E+00
  4.6501627E+00  1.0117872E+00
  4.6502557E+00  1.0018210E+00
  4.6503487E+00  1.0016295E+00
  4.6504416E+00  9.9435186E-01
  4.6505346E+00  9.7755921E-01
  4.6506276E+00  9.7089714E-01
  4.6507206E+00  9.7094417E-01
  4.6508136E+00  9.7740823E-01
  4.6509066E+00  9.7549510E-01
  4.6509995E+00  9.7790939E-01
  4.6510925E+00  9.7276914E-01
  4.6511860E+00  9.9613780E-01
  4.6512790E+00  1.0028851E+00
  4.6513720E+00  1.0007002E+00
  4.6514649E+00  1.0185887E+00
  4.6515579E+00  1.0221661E+00
  4.6516509E+00  1.0208110E+00
  4.6517439E+00  1.0431552E+00
