        4636           2          20
Tue Mar 13 17:52:45 2007
nirspec_doar24es_glue.dat

Full Nirspec spectrum of doar24es, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
april data much worse,  do not use

Included data files, index, atm. transm cutoff, scale factor:
doar24es_coice_jul02.dat 2 0.500000 0.953983
doar24es_coice+_jul02.dat 2 0.400000 0.953983
doar24es_cop_mar07.dat 3 0.500000 1.30583
doar24es_cop+_mar07.dat 3 0.500000 1.27972

     Wavelength     Flux
         um          Jy
 
  4.6481972E+00  2.2922883E+00
  4.6482902E+00  2.3452518E+00
  4.6483831E+00  2.3829467E+00
  4.6484761E+00  2.4226351E+00
  4.6485691E+00  2.4478266E+00
  4.6486621E+00  2.5578930E+00
  4.6487551E+00  2.6369541E+00
  4.6488481E+00           -NaN
  4.6489410E+00           -NaN
  4.6490340E+00  2.3408329E+00
  4.6491270E+00  2.2107601E+00
  4.6492200E+00  2.2886419E+00
  4.6493130E+00  2.6272852E+00
  4.6494060E+00  2.7736754E+00
  4.6494989E+00  2.7371979E+00
  4.6495919E+00  2.6400459E+00
  4.6496849E+00  2.5801587E+00
  4.6497779E+00  2.5024343E+00
  4.6498709E+00  2.4860888E+00
  4.6499639E+00  2.4823391E+00
  4.6500568E+00  2.4187405E+00
  4.6501498E+00  2.3430424E+00
  4.6502428E+00  2.3297670E+00
  4.6503358E+00  2.2852426E+00
  4.6504288E+00  2.2574370E+00
  4.6505218E+00  2.2441499E+00
  4.6506147E+00  2.2188702E+00
  4.6507077E+00  2.2217789E+00
  4.6508007E+00  2.2557988E+00
  4.6508937E+00  2.2591383E+00
  4.6509867E+00  2.2578447E+00
  4.6510801E+00  2.2736585E+00
  4.6511731E+00  2.2676909E+00
  4.6512661E+00  2.3015182E+00
  4.6513591E+00  2.3288496E+00
  4.6514521E+00  2.3269596E+00
  4.6515450E+00  2.3382087E+00
  4.6516380E+00  2.3399518E+00
  4.6517310E+00  2.3739147E+00
  4.6518240E+00  2.4061558E+00
  4.6519170E+00  2.4048185E+00
  4.6520104E+00  2.4100680E+00
  4.6521034E+00  2.3946805E+00
  4.6521964E+00  2.3932192E+00
  4.6522894E+00  2.3863246E+00
  4.6523824E+00  2.3930092E+00
  4.6524754E+00  2.3959625E+00
  4.6525683E+00  2.4155703E+00
  4.6526613E+00  2.4301796E+00
  4.6527548E+00  2.4200001E+00
  4.6528478E+00  2.3964813E+00
  4.6529408E+00  2.3715787E+00
  4.6530337E+00  2.3689125E+00
  4.6531267E+00  2.3299508E+00
  4.6532197E+00  2.3282461E+00
  4.6533132E+00  2.3270936E+00
  4.6534061E+00  2.3247139E+00
  4.6534991E+00  2.2990367E+00
  4.6535921E+00  2.3011346E+00
  4.6536851E+00  2.3146033E+00
  4.6537781E+00  2.2855034E+00
  4.6538715E+00  2.2796359E+00
  4.6539645E+00  2.3128719E+00
  4.6540575E+00  2.2692871E+00
  4.6541505E+00  2.1992059E+00
  4.6542435E+00  2.2220232E+00
  4.6543369E+00  2.2604246E+00
  4.6544299E+00  2.2309480E+00
  4.6545229E+00  2.1630652E+00
  4.6546159E+00  2.1488850E+00
  4.6547093E+00  2.1734002E+00
  4.6548023E+00  2.2007768E+00
  4.6548953E+00  2.1733048E+00
  4.6549883E+00  2.1908131E+00
  4.6550817E+00  2.2032020E+00
  4.6551747E+00  2.1535783E+00
  4.6552677E+00  2.1456392E+00
  4.6553607E+00  2.1702878E+00
  4.6554542E+00  2.1525259E+00
  4.6555471E+00  2.0894644E+00
  4.6556401E+00  2.1207199E+00
  4.6557331E+00  2.1787457E+00
  4.6558266E+00  2.1365714E+00
  4.6559196E+00  2.1517920E+00
  4.6560125E+00  2.1631858E+00
  4.6561055E+00  2.1485255E+00
  4.6561990E+00  2.1553879E+00
  4.6562920E+00  2.1664844E+00
  4.6563849E+00           -NaN
  4.6564784E+00           -NaN
  4.6565714E+00  2.2097290E+00
  4.6566644E+00  2.2869501E+00
  4.6567578E+00  2.3598833E+00
  4.6568508E+00  2.4619837E+00
  4.6569438E+00  2.5682256E+00
  4.6570373E+00  2.6368127E+00
  4.6571302E+00           -NaN
  4.6572232E+00  2.4906659E+00
  4.6573167E+00  2.3431923E+00
  4.6574097E+00  2.2226732E+00
  4.6575027E+00  2.4964314E+00
  4.6575961E+00  2.6825440E+00
  4.6576891E+00  2.6780093E+00
  4.6577821E+00  2.6088235E+00
  4.6578755E+00  2.5336893E+00
  4.6579685E+00  2.4806156E+00
  4.6580615E+00  2.4198802E+00
  4.6581550E+00  2.3393590E+00
  4.6582479E+00  2.2785189E+00
  4.6583414E+00  2.2312164E+00
  4.6584344E+00  2.2476261E+00
  4.6585274E+00  2.2477119E+00
  4.6586208E+00  2.1929030E+00
  4.6587138E+00  2.2430167E+00
  4.6588073E+00  2.2887530E+00
  4.6589003E+00  2.3018639E+00
  4.6589932E+00  2.2895420E+00
  4.6590867E+00  2.2997794E+00
  4.6591797E+00  2.2969849E+00
  4.6592731E+00  2.2975280E+00
  4.6593661E+00  2.3189142E+00
  4.6594591E+00  2.3236532E+00
  4.6595526E+00  2.3383148E+00
  4.6596456E+00  2.3469441E+00
  4.6597390E+00  2.3444726E+00
  4.6598320E+00  2.3273098E+00
  4.6599255E+00  2.3221858E+00
  4.6600184E+00  2.3035653E+00
  4.6601119E+00  2.2530951E+00
  4.6602049E+00  2.2864640E+00
  4.6602979E+00  2.3319070E+00
  4.6603913E+00  2.3500285E+00
  4.6604843E+00           -NaN
  4.6605778E+00           -NaN
  4.6606708E+00           -NaN
  4.6607642E+00           -NaN
  4.6608572E+00           -NaN
  4.6609507E+00  2.1719973E+00
  4.6610436E+00  2.1846521E+00
  4.6611371E+00  2.1688499E+00
  4.6612301E+00  2.1579943E+00
  4.6613235E+00  2.1425500E+00
  4.6614165E+00  2.1465981E+00
  4.6615100E+00  2.1633403E+00
  4.6616030E+00  2.1382561E+00
  4.6616964E+00  2.1513917E+00
  4.6617894E+00  2.1748295E+00
  4.6618829E+00  2.1677711E+00
  4.6619759E+00  2.1672795E+00
  4.6620693E+00  2.1515706E+00
  4.6621628E+00  2.0935695E+00
  4.6622558E+00  2.1086900E+00
  4.6623492E+00  2.0965517E+00
  4.6624422E+00  2.1226876E+00
  4.6625357E+00  2.1358659E+00
  4.6626287E+00  2.1192288E+00
  4.6627221E+00  2.1225479E+00
  4.6628151E+00  2.1173449E+00
  4.6629086E+00  2.1154983E+00
  4.6630020E+00  2.1386130E+00
  4.6630950E+00  2.1381512E+00
  4.6631885E+00  2.1553423E+00
  4.6632814E+00  2.1484792E+00
  4.6633749E+00  2.1133399E+00
  4.6634684E+00  2.1084163E+00
  4.6635613E+00  2.1400535E+00
  4.6636548E+00  2.1688428E+00
  4.6637478E+00  2.2138669E+00
  4.6638412E+00  2.2274890E+00
  4.6639347E+00  2.1985619E+00
  4.6640277E+00  2.2025604E+00
  4.6641212E+00  2.1921935E+00
  4.6642141E+00  2.1737912E+00
  4.6643076E+00  2.1674821E+00
  4.6644011E+00  2.1708720E+00
  4.6644940E+00  2.1415002E+00
  4.6645875E+00  2.1688643E+00
  4.6646810E+00  2.1456251E+00
  4.6647739E+00  2.1296887E+00
  4.6648674E+00  2.1283176E+00
  4.6649609E+00  2.1127298E+00
  4.6650538E+00  2.1061723E+00
  4.6651473E+00  2.1213660E+00
  4.6652408E+00  2.1229992E+00
  4.6653337E+00  2.1335614E+00
  4.6654272E+00  2.1372616E+00
  4.6655207E+00  2.1258061E+00
  4.6656137E+00  2.1592999E+00
  4.6657071E+00  2.1694520E+00
  4.6658006E+00  2.1469955E+00
  4.6658936E+00  2.1596279E+00
  4.6659870E+00  2.1772377E+00
  4.6660805E+00  2.1938493E+00
  4.6661739E+00  2.2157114E+00
  4.6662669E+00  2.2113075E+00
  4.6663604E+00  2.1951158E+00
  4.6664538E+00  2.2006869E+00
  4.6665468E+00  2.2306497E+00
  4.6666403E+00  2.2571349E+00
  4.6667337E+00  2.2850630E+00
  4.6668272E+00  2.3039453E+00
  4.6669202E+00  2.2790864E+00
  4.6670136E+00  2.2894664E+00
  4.6671071E+00  2.3216047E+00
  4.6672006E+00  2.3099544E+00
  4.6672935E+00  2.2810528E+00
  4.6673870E+00  2.2770867E+00
  4.6674805E+00  2.2732525E+00
  4.6675739E+00  2.2284808E+00
  4.6676669E+00  2.2262428E+00
  4.6677604E+00  2.2467864E+00
  4.6678538E+00  2.2471101E+00
  4.6679473E+00  2.2300565E+00
  4.6680408E+00  2.2389219E+00
  4.6681337E+00  2.2288570E+00
  4.6682272E+00  2.2151966E+00
  4.6683207E+00  2.1867056E+00
  4.6684141E+00  2.1723289E+00
  4.6685076E+00  2.1518571E+00
  4.6686006E+00  2.1542900E+00
  4.6686940E+00  2.1305411E+00
  4.6687875E+00  2.1230013E+00
  4.6688809E+00  2.1215038E+00
  4.6689744E+00  2.1333265E+00
  4.6690674E+00  2.1005890E+00
  4.6691608E+00  2.0950682E+00
  4.6692543E+00  2.1094723E+00
  4.6693478E+00  2.0899026E+00
  4.6694412E+00  2.0876064E+00
  4.6695347E+00  2.1152253E+00
  4.6696281E+00  2.1399109E+00
  4.6697211E+00  2.1296291E+00
  4.6698146E+00  2.0977647E+00
  4.6699080E+00  2.0963783E+00
  4.6700015E+00  2.1141832E+00
  4.6700950E+00  2.1168852E+00
  4.6701884E+00  2.1165617E+00
  4.6702819E+00  2.1232069E+00
  4.6703753E+00  2.1168692E+00
  4.6704683E+00  2.1350994E+00
  4.6705618E+00  2.1663632E+00
  4.6706553E+00  2.1971612E+00
  4.6707487E+00  2.2323842E+00
  4.6708422E+00  2.2426136E+00
  4.6709356E+00  2.2320058E+00
  4.6710291E+00  2.2303326E+00
  4.6711226E+00  2.2365355E+00
  4.6712160E+00  2.2197394E+00
  4.6713095E+00  2.2091994E+00
  4.6714029E+00  2.1772840E+00
  4.6714959E+00  2.1765144E+00
  4.6715894E+00  2.1807392E+00
  4.6716828E+00  2.1463003E+00
  4.6717763E+00  2.1200297E+00
  4.6718698E+00  2.1115074E+00
  4.6719632E+00  2.1298006E+00
  4.6720567E+00  2.1370175E+00
  4.6721501E+00  2.1018221E+00
  4.6722436E+00  2.0993102E+00
  4.6723371E+00  2.1398342E+00
  4.6724305E+00  2.1300406E+00
  4.6725240E+00  2.1356075E+00
  4.6726174E+00  2.1732783E+00
  4.6727109E+00  2.1493623E+00
  4.6728044E+00  2.1464777E+00
  4.6728978E+00  2.1350033E+00
  4.6729913E+00  2.1485059E+00
  4.6730847E+00  2.1773410E+00
  4.6731782E+00  2.2212934E+00
  4.6732717E+00  2.2626085E+00
  4.6733651E+00  2.2731056E+00
  4.6734586E+00  2.3246777E+00
  4.6735520E+00  2.3798745E+00
  4.6736455E+00           -NaN
  4.6737390E+00           -NaN
  4.6738324E+00           -NaN
  4.6739259E+00           -NaN
  4.6740193E+00           -NaN
  4.6741128E+00           -NaN
  4.6742063E+00           -NaN
  4.6742997E+00  2.5928032E+00
  4.6743932E+00  2.5469744E+00
  4.6744866E+00  2.5595798E+00
  4.6745801E+00  2.5216510E+00
  4.6746736E+00  2.4809258E+00
  4.6747675E+00  2.4305661E+00
  4.6748610E+00  2.4031305E+00
  4.6749544E+00  2.3617389E+00
  4.6750479E+00  2.3400524E+00
  4.6751413E+00  2.2871876E+00
  4.6752348E+00  2.2345266E+00
  4.6753283E+00  2.2233961E+00
  4.6754217E+00  2.2283852E+00
  4.6755152E+00  2.2459278E+00
  4.6756086E+00  2.2241275E+00
  4.6757021E+00  2.2155013E+00
  4.6757960E+00  2.2044857E+00
  4.6758895E+00  2.1766498E+00
  4.6759830E+00  2.1498814E+00
  4.6760764E+00  2.1438506E+00
  4.6761699E+00  2.1399074E+00
  4.6762633E+00  2.1217377E+00
  4.6763568E+00  2.1482232E+00
  4.6764503E+00  2.1638672E+00
  4.6765442E+00           -NaN
  4.6766376E+00  2.1010852E+00
  4.6767311E+00  2.0991642E+00
  4.6768246E+00  2.0927601E+00
  4.6769180E+00  2.1273038E+00
  4.6770115E+00  2.1346934E+00
  4.6771054E+00  2.1467929E+00
  4.6771989E+00  2.1438961E+00
  4.6772923E+00  2.1556652E+00
  4.6773858E+00  2.1715674E+00
  4.6774793E+00  2.1488895E+00
  4.6775727E+00  2.1485004E+00
  4.6776667E+00  2.1667092E+00
  4.6777601E+00  2.1614430E+00
  4.6778536E+00  2.1934552E+00
  4.6779470E+00  2.2035429E+00
  4.6780405E+00  2.2093036E+00
  4.6781344E+00  2.1832540E+00
  4.6782279E+00  2.1793113E+00
  4.6783214E+00  2.1513515E+00
  4.6784148E+00  2.1304491E+00
  4.6785088E+00           -NaN
  4.6786022E+00           -NaN
  4.6786957E+00           -NaN
  4.6787891E+00           -NaN
  4.6788831E+00  2.1058543E+00
  4.6789765E+00  2.0908852E+00
  4.6790700E+00  2.0969527E+00
  4.6791635E+00  2.1181312E+00
  4.6792574E+00  2.1321249E+00
  4.6793509E+00  2.1200967E+00
  4.6794443E+00  2.1195204E+00
  4.6795378E+00  2.1178088E+00
  4.6796317E+00  2.1039312E+00
  4.6797252E+00  2.1121116E+00
  4.6798186E+00  2.0767062E+00
  4.6799121E+00  2.0632529E+00
  4.6800060E+00  2.1013904E+00
  4.6800995E+00  2.1403968E+00
  4.6801929E+00  2.1181164E+00
  4.6802869E+00  2.1179996E+00
  4.6803803E+00  2.1147506E+00
  4.6804738E+00  2.1348350E+00
  4.6805677E+00  2.1305251E+00
  4.6806612E+00  2.1085992E+00
  4.6807547E+00  2.0682344E+00
  4.6808486E+00           -NaN
  4.6809421E+00           -NaN
  4.6810355E+00           -NaN
  4.6811295E+00           -NaN
  4.6812229E+00           -NaN
  4.6813164E+00  2.0975628E+00
  4.6814103E+00  2.1112106E+00
  4.6815038E+00  2.2024782E+00
  4.6815972E+00  2.2681973E+00
  4.6816912E+00  2.2993500E+00
  4.6817846E+00  2.3711958E+00
  4.6818781E+00  2.4221339E+00
  4.6819720E+00  2.4344180E+00
  4.6820655E+00  2.5035276E+00
  4.6821589E+00  2.5369627E+00
  4.6822529E+00           -NaN
  4.6823463E+00           -NaN
  4.6824403E+00  2.3298359E+00
  4.6825337E+00  2.2566710E+00
  4.6826272E+00  2.3892198E+00
  4.6827211E+00  2.6630039E+00
  4.6828146E+00  2.7408652E+00
  4.6829085E+00  2.6906791E+00
  4.6830020E+00  2.6275353E+00
  4.6830959E+00  2.5408609E+00
  4.6831894E+00  2.4529583E+00
  4.6832829E+00  2.3764799E+00
  4.6833768E+00  2.3216188E+00
  4.6834702E+00  2.2819877E+00
  4.6835642E+00  2.2496915E+00
  4.6836576E+00  2.2239974E+00
  4.6837516E+00  2.1918261E+00
  4.6838450E+00  2.1916890E+00
  4.6839385E+00  2.1606402E+00
  4.6840324E+00  2.1460469E+00
  4.6841259E+00  2.1246228E+00
  4.6842198E+00  2.1022179E+00
  4.6843133E+00  2.1250312E+00
  4.6844072E+00  2.1472960E+00
  4.6845007E+00  2.1680832E+00
  4.6845946E+00  2.1597786E+00
  4.6846881E+00  2.1635218E+00
  4.6847820E+00  2.1452968E+00
  4.6848755E+00  2.1548879E+00
  4.6849694E+00  2.1816635E+00
  4.6850629E+00  2.1992316E+00
  4.6851568E+00  2.2102120E+00
  4.6852503E+00  2.2017815E+00
  4.6853442E+00  2.1783419E+00
  4.6854377E+00  2.1581120E+00
  4.6855316E+00  2.1691852E+00
  4.6856251E+00  2.1794627E+00
  4.6857190E+00  2.1269255E+00
  4.6858125E+00  2.1187165E+00
  4.6859064E+00  2.1236789E+00
  4.6859999E+00  2.1309066E+00
  4.6860938E+00  2.1187265E+00
  4.6861877E+00  2.1048782E+00
  4.6862812E+00  2.1127071E+00
  4.6863751E+00  2.1138506E+00
  4.6864686E+00  2.1021454E+00
  4.6865625E+00  2.0871439E+00
  4.6866560E+00  2.0838802E+00
  4.6867499E+00  2.0927136E+00
  4.6868439E+00  2.0978374E+00
  4.6869373E+00  2.1187370E+00
  4.6870313E+00  2.1038313E+00
  4.6871247E+00  2.1053684E+00
  4.6872187E+00  2.1208489E+00
  4.6873121E+00  2.0991807E+00
  4.6874061E+00  2.1001348E+00
  4.6875000E+00  2.1196787E+00
  4.6875935E+00  2.1372166E+00
  4.6876874E+00  2.1306016E+00
  4.6877809E+00  2.0953474E+00
  4.6878748E+00  2.0859830E+00
  4.6879687E+00  2.1101725E+00
  4.6880622E+00  2.1093931E+00
  4.6881561E+00  2.1001482E+00
  4.6882501E+00  2.1141164E+00
  4.6883435E+00  2.1045649E+00
  4.6884375E+00  2.0870724E+00
  4.6885314E+00  2.0771291E+00
  4.6886249E+00  2.0934210E+00
  4.6887188E+00  2.0930386E+00
  4.6888127E+00  2.1168666E+00
  4.6889062E+00  2.1233802E+00
  4.6890001E+00  2.1148496E+00
  4.6890941E+00  2.1205628E+00
  4.6891875E+00  2.1042199E+00
  4.6892815E+00  2.0790229E+00
  4.6893754E+00  2.0958409E+00
  4.6894689E+00  2.1093292E+00
  4.6895628E+00  2.1005898E+00
  4.6896567E+00  2.0858474E+00
  4.6897502E+00  2.0885584E+00
  4.6898441E+00  2.1209319E+00
  4.6899381E+00  2.1436489E+00
  4.6900315E+00  2.1754968E+00
  4.6901255E+00  2.2021642E+00
  4.6902194E+00  2.2211287E+00
  4.6903133E+00  2.2543669E+00
  4.6904068E+00  2.3061259E+00
  4.6905007E+00  2.3455069E+00
  4.6905947E+00  2.3770182E+00
  4.6906886E+00  2.4428313E+00
  4.6907821E+00  2.4489591E+00
  4.6908760E+00           -NaN
  4.6909699E+00           -NaN
  4.6910639E+00  2.2561011E+00
  4.6911573E+00  2.2580118E+00
  4.6912513E+00  2.5022149E+00
  4.6913452E+00  2.7332847E+00
  4.6914392E+00  2.7244067E+00
  4.6915326E+00  2.5920835E+00
  4.6916265E+00  2.5347583E+00
  4.6917205E+00  2.4696984E+00
  4.6918144E+00  2.3907192E+00
  4.6919079E+00  2.3461912E+00
  4.6920018E+00  2.2789850E+00
  4.6920958E+00  2.2799377E+00
  4.6921897E+00  2.2611244E+00
  4.6922836E+00  2.2408135E+00
  4.6923771E+00  2.2170908E+00
  4.6924710E+00  2.1959853E+00
  4.6925650E+00  2.2125096E+00
  4.6926589E+00  2.1962895E+00
  4.6927528E+00  2.1489844E+00
  4.6928468E+00  2.1415536E+00
  4.6929402E+00  2.1386993E+00
  4.6930342E+00  2.1518447E+00
  4.6931281E+00  2.1435156E+00
  4.6932220E+00  2.1260183E+00
  4.6933160E+00  2.1192584E+00
  4.6934099E+00  2.0965619E+00
  4.6935034E+00  2.0624421E+00
  4.6935973E+00  2.0728929E+00
  4.6936913E+00  2.0874934E+00
  4.6937852E+00  2.0844593E+00
  4.6938791E+00  2.1011899E+00
  4.6939731E+00  2.0887759E+00
  4.6940670E+00  2.0918195E+00
  4.6941609E+00  2.1031606E+00
  4.6942544E+00  2.1220839E+00
  4.6943483E+00  2.1278353E+00
  4.6944423E+00  2.1267557E+00
  4.6945362E+00  2.1355631E+00
  4.6946301E+00  2.1043351E+00
  4.6947241E+00  2.0716114E+00
  4.6948180E+00  2.0913150E+00
  4.6949120E+00  2.1123071E+00
  4.6950059E+00  2.1062012E+00
  4.6950998E+00  2.0953043E+00
  4.6951938E+00           -NaN
  4.6952877E+00           -NaN
  4.6953812E+00           -NaN
  4.6954751E+00           -NaN
  4.6955690E+00  2.1220310E+00
  4.6956630E+00  2.1300716E+00
  4.6957569E+00  2.1420643E+00
  4.6958508E+00  2.1437843E+00
  4.6959448E+00  2.1182156E+00
  4.6960387E+00  2.0699196E+00
  4.6961327E+00  2.1188347E+00
  4.6962266E+00  2.1625402E+00
  4.6963205E+00  2.1791036E+00
  4.6964145E+00  2.1128764E+00
  4.6965084E+00  2.0907860E+00
  4.6966023E+00  2.0908751E+00
  4.6966963E+00  2.0967441E+00
  4.6967902E+00  2.1101294E+00
  4.6968842E+00  2.1079309E+00
  4.6969781E+00  2.1280143E+00
