        4627           2          20
Wed Apr 23 14:43:59 2008
nirspec_v1121oph_glue.dat

Full Nirspec spectrum of v1121oph, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
done

Included data files, index, atm. transm cutoff, scale factor:
v1121oph_coice_jul02.dat 1 0.400000 0.801573
v1121oph_coice+_jul02.dat 1 0.600000 0.801573
v1121oph_cop_apr08.dat 2 0.600000 1.14040
v1121oph_cop+_apr08.dat 2 0.600000 1.09337

     Wavelength     Flux
         um          Jy
 
  4.6489363E+00           -NaN
  4.6490293E+00           -NaN
  4.6491222E+00  1.7997437E+00
  4.6492152E+00  1.7767708E+00
  4.6493082E+00  1.7537975E+00
  4.6494012E+00  1.7564358E+00
  4.6494942E+00  1.7670448E+00
  4.6495872E+00  1.7622907E+00
  4.6496801E+00  1.7255419E+00
  4.6497731E+00  1.7169118E+00
  4.6498661E+00  1.7008482E+00
  4.6499591E+00  1.6909201E+00
  4.6500521E+00  1.6731588E+00
  4.6501451E+00  1.6474383E+00
  4.6502380E+00  1.6221737E+00
  4.6503310E+00  1.6381289E+00
  4.6504240E+00  1.6810656E+00
  4.6505170E+00  1.6899413E+00
  4.6506100E+00  1.7180064E+00
  4.6507030E+00  1.7132772E+00
  4.6507964E+00  1.7375124E+00
  4.6508894E+00  1.7846264E+00
  4.6509824E+00  1.8268921E+00
  4.6510754E+00  1.8441229E+00
  4.6511683E+00  1.8589857E+00
  4.6512613E+00  1.8714989E+00
  4.6513543E+00  1.8885678E+00
  4.6514473E+00  1.9204320E+00
  4.6515403E+00  1.9697284E+00
  4.6516333E+00  1.9982282E+00
  4.6517262E+00  2.0134828E+00
  4.6518197E+00  2.0645659E+00
  4.6519127E+00  2.0827854E+00
  4.6520057E+00  2.1121631E+00
  4.6520987E+00  2.1304309E+00
  4.6521916E+00  2.1383696E+00
  4.6522846E+00  2.1666431E+00
  4.6523776E+00  2.1924441E+00
  4.6524706E+00  2.2025857E+00
  4.6525640E+00  2.2085922E+00
  4.6526570E+00  2.2111173E+00
