        4644           2          28
Sat May  1 20:39:32 2010
nirspec_doar44_glue.dat

Full Nirspec spectrum of doar44, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
done

Included data files, index, atm. transm cutoff, scale factor:
doar44_coice_jul04.dat 1 0.500000 1.35740
doar44_coice+_jul04.dat 1 0.500000 1.35740
doar44_cop_jul04.dat 2 0.400000 1.03538
doar44_cop+_jul04.dat 2 0.500000 1.03538
doar44_coice_apr05.dat 3 0.400000 0.927717
doar44_coice+_apr05.dat 3 0.500000 0.946271
doar44_cop_apr05.dat 4 0.400000 1.51340
doar44_cop+_apr05.dat 4 0.500000 1.48219
doar44_coice_jul02.dat 5 0.500000 0.937963
doar44_coice+_jul02.dat 5 0.700000 0.937963
doar44_cop_apr10.dat 6 0.700000 0.868594
doar44_cop+_apr10.dat 6 0.700000 0.825164

     Wavelength     Flux
         um          Jy
 
  4.6469254E+00  5.3945166E-01
  4.6470184E+00  5.3972399E-01
  4.6471114E+00  5.4141825E-01
  4.6472044E+00  5.2787864E-01
  4.6472974E+00  5.2602071E-01
  4.6473904E+00  5.1436484E-01
  4.6474829E+00  5.2987075E-01
  4.6475759E+00  5.3134155E-01
  4.6476688E+00  5.3183806E-01
  4.6477618E+00  5.2731246E-01
  4.6478548E+00  5.2933472E-01
  4.6479478E+00  5.3475314E-01
  4.6480408E+00  5.3585386E-01
  4.6481338E+00  5.4133552E-01
  4.6482267E+00  5.2969033E-01
  4.6483197E+00  5.3090847E-01
  4.6484127E+00  5.3056180E-01
  4.6485057E+00  5.4913855E-01
  4.6485987E+00  5.6431043E-01
  4.6486917E+00  5.8607066E-01
  4.6487846E+00  6.0484493E-01
  4.6488776E+00  6.2439239E-01
  4.6489706E+00  6.3867646E-01
  4.6490636E+00  6.0407203E-01
  4.6491566E+00  5.8518738E-01
  4.6492496E+00  6.0363913E-01
  4.6493425E+00  6.0723060E-01
  4.6494355E+00  5.9034282E-01
  4.6495285E+00  5.9267843E-01
  4.6496215E+00  5.7631248E-01
