        4643           2          24
Thu Aug 28 19:58:00 2008
nirspec_hd135344_glue.dat

Full Nirspec spectrum of hd135344, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
 

Included data files, index, atm. transm cutoff, scale factor:
hd135344_coice_apr05.dat 1 0.600000 0.957975
hd135344_coice+_apr05.dat 1 0.700000 0.708901
hd135344_cop_apr05.dat 2 0.500000 0.854223
hd135344_cop+_apr05.dat 2 0.700000 0.740907
hd135344_coice_jul06.dat 3 0.700000 1.58563
hd135344_coice+_jul06.dat 3 0.700000 1.37312
hd135344_cop_jul06.dat 4 0.700000 1.21571
hd135344_cop+_jul06.dat 4 0.700000 1.11545

     Wavelength     Flux
         um          Jy
 
  4.6467814E+00  3.6072702E+00
  4.6468744E+00  3.6182189E+00
  4.6469674E+00  3.6176126E+00
  4.6470604E+00  3.6516006E+00
  4.6471534E+00  3.6146653E+00
  4.6472464E+00  3.6295424E+00
  4.6473389E+00  3.6140845E+00
  4.6474319E+00  3.5896327E+00
  4.6475248E+00  3.5840538E+00
  4.6476178E+00  3.5945401E+00
  4.6477108E+00  3.5946553E+00
  4.6478038E+00  3.5960450E+00
  4.6478968E+00  3.6158676E+00
  4.6479897E+00  3.5770609E+00
  4.6480827E+00  3.5866029E+00
  4.6481757E+00  3.5985928E+00
  4.6482687E+00  3.5588646E+00
  4.6483617E+00  3.5203476E+00
  4.6484547E+00  3.5036440E+00
  4.6485476E+00  3.5235338E+00
  4.6486406E+00  3.5495999E+00
  4.6487336E+00  3.5375495E+00
  4.6488266E+00  3.5420089E+00
  4.6489196E+00  3.5882878E+00
  4.6490126E+00  3.5130253E+00
  4.6491055E+00  3.4912701E+00
  4.6491985E+00  3.5172172E+00
  4.6492915E+00           -NaN
  4.6493845E+00           -NaN
  4.6494775E+00  3.6300650E+00
  4.6495705E+00  3.4991906E+00
  4.6496634E+00  3.5397367E+00
  4.6497564E+00  3.5971367E+00
  4.6498494E+00  3.6159060E+00
  4.6499424E+00  3.6015286E+00
  4.6500354E+00  3.5794258E+00
