        5503           2          45
Thu Aug 28 19:59:18 2008
nirspec_twhya_glue.dat

Full Nirspec spectrum of twhya, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
HI Pf Beta much brighter in 2002 data compared to 2001 Perhaps variable? Reduce separately

Included data files, index, atm. transm cutoff, scale factor:
twhya_coice_jan01_1.dat 5 0.500000 0.884377
twhya_coice+_jan01_1.dat 5 0.500000 1.06125
twhya_coice_jan01_2.dat 6 0.500000 0.908357
twhya_coice+_jan01_2.dat 6 0.500000 1.04461
twhya_coice_dec02.dat 2 0.600000 1.49593
twhya_coice+_dec02.dat 2 0.500000 1.49593
twhya_cop_dec02.dat 3 0.500000 1.73646
twhya_cop+_dec02.dat 3 0.500000 1.99693
twhya_coice_apr02.dat 4 0.500000 1.40766
twhya_coice_dec04.dat 7 0.500000 0.912302
twhya_coice+_dec04.dat 7 0.300000 0.912302
twhya_cop_dec04.dat 8 0.600000 0.935704
twhya_cop+_dec04.dat 8 0.300000 0.864412
twhya_13coice_dec04.dat 9 0.500000 0.957367
twhya_13coice+_dec04.dat 9 0.350000 1.05310
twhya_coice_apr05.dat 11 0.600000 0.714162
twhya_coice+_apr05.dat 11 0.300000 0.761773
twhya_cop_apr05.dat 12 0.500000 0.817921
twhya_cop+_apr05.dat 12 0.400000 0.899713
twhya_coice_dec05_1.dat 13 0.400000 0.944016
twhya_coice+_dec05_1.dat 13 0.400000 1.08562
twhya_cop_dec05_1.dat 14 0.400000 0.867440
twhya_cop+_dec05_1.dat 14 0.400000 1.08430
twhya_cop_dec05_2.dat 15 0.400000 0.998277
twhya_cop+_dec05_2.dat 15 0.300000 0.998277
twhya_phoenix_1_may06.dat 16 0.500000 1.93057
twhya_phoenix_2_may06.dat 17 0.500000 2.35688
twhya_phoenix_3_may06.dat 18 0.500000 2.99148
twhya_phoenix_4_may06.dat 19 0.500000 3.05276

     Wavelength     Flux
         um          Jy
 
  4.6142478E+00  1.9438751E-01
  4.6143403E+00  2.3082913E-01
  4.6144323E+00  2.3216240E-01
  4.6145248E+00  1.9226477E-01
  4.6146169E+00  1.7548542E-01
  4.6147094E+00  2.5410181E-01
  4.6148014E+00  2.5262517E-01
  4.6148939E+00  2.2202958E-01
  4.6149859E+00  2.2517315E-01
  4.6150784E+00  2.3891014E-01
  4.6151710E+00  2.5033379E-01
  4.6152630E+00  2.1915586E-01
  4.6153555E+00  2.4164018E-01
  4.6154475E+00  2.5796422E-01
  4.6155400E+00  2.4596143E-01
  4.6156321E+00  2.5528902E-01
  4.6157246E+00  2.2576436E-01
  4.6158171E+00  2.3581728E-01
  4.6159091E+00  2.5003812E-01
  4.6160016E+00  2.3351370E-01
  4.6160936E+00  2.2502704E-01
  4.6161861E+00  2.0592172E-01
  4.6162786E+00  2.3951085E-01
  4.6163707E+00  2.1335295E-01
  4.6164632E+00  2.4902272E-01
  4.6165557E+00  2.7422148E-01
  4.6166477E+00  2.6445520E-01
  4.6167402E+00  2.6079530E-01
  4.6168323E+00  2.3074274E-01
  4.6169248E+00  2.2046313E-01
  4.6170173E+00  2.4411452E-01
  4.6171093E+00  2.4427211E-01
  4.6172018E+00  2.5144187E-01
  4.6172943E+00  2.3330300E-01
  4.6173863E+00  2.4328503E-01
  4.6174788E+00  2.6891157E-01
  4.6175714E+00  2.5162232E-01
  4.6176634E+00  2.6216465E-01
  4.6177559E+00  2.5042185E-01
  4.6178484E+00           -NaN
  4.6179404E+00           -NaN
  4.6180329E+00           -NaN
  4.6181254E+00           -NaN
  4.6182179E+00  2.4566995E-01
  4.6183100E+00  2.4950255E-01
  4.6184025E+00  2.7283806E-01
  4.6184950E+00  2.2897771E-01
  4.6185870E+00  2.4043219E-01
  4.6186795E+00  2.6375315E-01
  4.6187720E+00  2.8687850E-01
  4.6188645E+00  2.5655925E-01
  4.6189566E+00  2.3131631E-01
  4.6190491E+00  2.3373289E-01
  4.6191416E+00  2.4684387E-01
