        4642           2          20
Thu Jan  7 11:38:34 2010
nirspec_gktau_glue.dat

Full Nirspec spectrum of gktau, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
done

Included data files, index, atm. transm cutoff, scale factor:
gktau_cop_dec09.dat 1 0.700000 1.07503
gktau_cop+_dec09.dat 1 0.700000 1.04278
gktau_coice_dec09.dat 2 0.700000 0.688061
gktau_coice+_dec09.dat 2 0.700000 0.819120

     Wavelength     Flux
         um          Jy
 
  4.6465631E+00           -NaN
  4.6466560E+00  6.7195320E-01
  4.6467490E+00  6.7332846E-01
  4.6468420E+00  6.7470372E-01
  4.6469350E+00  6.8074971E-01
  4.6470275E+00  6.8718082E-01
  4.6471205E+00  6.8457198E-01
  4.6472135E+00  6.8465960E-01
  4.6473064E+00           -NaN
  4.6473994E+00  6.6118449E-01
  4.6474924E+00  6.5927720E-01
  4.6475854E+00  6.7612982E-01
  4.6476784E+00  6.7943764E-01
  4.6477714E+00  6.7492789E-01
  4.6478643E+00  7.0063931E-01
  4.6479573E+00  6.9403678E-01
  4.6480503E+00  6.6892970E-01
  4.6481433E+00  6.5071201E-01
  4.6482363E+00  6.7054832E-01
  4.6483293E+00  6.7044932E-01
  4.6484222E+00  6.4257181E-01
  4.6485152E+00           -NaN
  4.6486082E+00           -NaN
  4.6487007E+00           -NaN
  4.6487937E+00           -NaN
  4.6488867E+00           -NaN
  4.6489797E+00           -NaN
  4.6490726E+00           -NaN
  4.6491656E+00           -NaN
  4.6492586E+00           -NaN
  4.6493516E+00           -NaN
  4.6494446E+00           -NaN
  4.6495376E+00           -NaN
  4.6496305E+00  7.0002079E-01
  4.6497235E+00  7.3695385E-01
  4.6498170E+00  7.6162344E-01
  4.6499100E+00  7.4601275E-01
  4.6500030E+00  7.2935075E-01
  4.6500959E+00  7.0754170E-01
  4.6501889E+00  7.0067930E-01
  4.6502819E+00  6.9898522E-01
  4.6503749E+00  6.9191188E-01
  4.6504679E+00  6.9125587E-01
  4.6505609E+00  6.9899654E-01
