        4636           2          20
Tue Oct 25 03:42:55 2005
nirspec_rno90_glue.dat

Full Nirspec spectrum of rno90, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
done. nice data

Included data files, index, atm. transm cutoff, scale factor:
rno90_coice_jul02.dat 1 0.600000 1.05775
rno90_coice+_jul02.dat 1 0.650000 1.01544
rno90_cop_jul02.dat 2 0.550000 0.931823
rno90_cop+_jul02.dat 2 0.600000 0.872345

     Wavelength     Flux
         um          Jy
 
  4.6481361E+00  3.0514715E+00
  4.6482291E+00  3.0323410E+00
  4.6483221E+00  3.0598102E+00
  4.6484151E+00  3.0925853E+00
  4.6485081E+00  3.1867161E+00
  4.6486011E+00  3.3574104E+00
  4.6486940E+00  3.4561872E+00
  4.6487870E+00           -NaN
  4.6488800E+00           -NaN
  4.6489730E+00           -NaN
  4.6490660E+00           -NaN
  4.6491590E+00           -NaN
  4.6492519E+00  3.4101942E+00
  4.6493449E+00  3.4540560E+00
  4.6494379E+00  3.4203644E+00
  4.6495309E+00  3.3428547E+00
  4.6496239E+00  3.2837663E+00
  4.6497169E+00  3.2153246E+00
  4.6498098E+00  3.1227417E+00
  4.6499028E+00  3.0657878E+00
  4.6499958E+00  3.0406003E+00
  4.6500888E+00  3.0231886E+00
  4.6501818E+00  3.0259047E+00
  4.6502748E+00  3.0340011E+00
  4.6503677E+00  3.0419669E+00
  4.6504607E+00  3.0692151E+00
  4.6505537E+00  3.1073861E+00
  4.6506467E+00  3.1154521E+00
  4.6507397E+00  3.1314390E+00
  4.6508327E+00  3.1804101E+00
  4.6509256E+00  3.1521094E+00
  4.6510186E+00  3.1349702E+00
  4.6511121E+00  3.2008684E+00
  4.6512051E+00  3.2183175E+00
  4.6512980E+00  3.2563145E+00
  4.6513910E+00  3.3138106E+00
  4.6514840E+00  3.3685560E+00
  4.6515770E+00  3.3769057E+00
  4.6516700E+00  3.4318311E+00
  4.6517630E+00  3.4655662E+00
  4.6518559E+00  3.5058124E+00
  4.6519489E+00  3.5152850E+00
