        5014           2          26
Tue Oct 25 03:20:04 2005
nirspec_abaur_glue.dat

Full Nirspec spectrum of abaur, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
done, threw few poor spectra out. looks good for the rest.

Included data files, index, atm. transm cutoff, scale factor:
abaur_coice_aug01.dat 1 0.650000 0.774889
abaur_coice_jan01.dat 2 0.650000 0.780896
abaur_coice+_jan01.dat 2 0.650000 0.780896
abaur_coice_jan02.dat 3 0.850000 1.32704
abaur_cop_aug01.dat 4 0.550000 0.949910
abaur_cop+_aug01.dat 4 0.550000 1.15556
abaur_cop_dec02.dat 5 0.300000 0.963246
abaur_cop+_dec02.dat 5 0.600000 0.953316
abaur_cop_jan02.dat 6 0.800000 1.28288
abaur_13coice_jan02.dat 7 0.500000 1.02889

     Wavelength     Flux
         um          Jy
 
  4.6135759E+00  9.8188229E+00
  4.6136684E+00  9.8685246E+00
  4.6137605E+00  9.8493900E+00
  4.6138530E+00  9.8326502E+00
  4.6139450E+00  9.8462820E+00
  4.6140375E+00  9.7401361E+00
  4.6141295E+00  9.8092880E+00
  4.6142220E+00  9.8750515E+00
  4.6143141E+00  9.8684425E+00
  4.6144066E+00  9.8820791E+00
  4.6144986E+00  1.0022344E+01
  4.6145911E+00  9.9567413E+00
  4.6146832E+00  9.8624840E+00
  4.6147757E+00  9.8590069E+00
  4.6148677E+00  9.8589754E+00
  4.6149602E+00  9.8593740E+00
  4.6150527E+00  9.8886709E+00
  4.6151447E+00  9.8054762E+00
  4.6152372E+00  9.8491325E+00
  4.6153293E+00  9.9197311E+00
  4.6154218E+00  9.9107323E+00
  4.6155138E+00  9.8389988E+00
  4.6156063E+00  9.8519888E+00
  4.6156988E+00  9.8435841E+00
  4.6157908E+00  9.8059740E+00
  4.6158834E+00  9.8609180E+00
  4.6159754E+00  9.9135504E+00
  4.6160679E+00  9.9844065E+00
  4.6161604E+00  1.0081724E+01
  4.6162524E+00  1.0061717E+01
  4.6163449E+00  9.9520960E+00
  4.6164374E+00  9.9248180E+00
