        4651           2          21
Mon Feb 23 16:00:45 2009
nirspec_hd144432s_glue.dat

Full Nirspec spectrum of hd144432s, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
done

Included data files, index, atm. transm cutoff, scale factor:
hd144432s_coice_jul02.dat 1 0.600000 1.20327
hd144432s_coice_apr05.dat 2 0.300000 1.00016
hd144432s_coice+_apr05.dat 2 0.500000 0.820131
hd144432s_cop_apr05.dat 3 0.400000 0.604650
hd144432s_cop+_apr05.dat 3 0.600000 0.577281

     Wavelength     Flux
         um          Jy
 
  4.6462460E+00  2.2684000E+00
  4.6463389E+00  2.2532039E+00
  4.6464319E+00  2.2669101E+00
  4.6465249E+00  2.3088112E+00
  4.6466179E+00  2.2808948E+00
  4.6467104E+00  2.2638443E+00
  4.6468034E+00  2.2454946E+00
  4.6468964E+00  2.2569573E+00
  4.6469893E+00  2.2792394E+00
  4.6470823E+00  2.2684660E+00
  4.6471753E+00  2.2576931E+00
  4.6472683E+00  2.2383626E+00
  4.6473613E+00  2.1818907E+00
  4.6474543E+00  2.2118213E+00
  4.6475472E+00  2.2083900E+00
  4.6476402E+00  2.1798151E+00
  4.6477332E+00  2.2425067E+00
  4.6478257E+00  2.2252352E+00
  4.6479187E+00  2.2196984E+00
  4.6480117E+00  2.2456315E+00
  4.6481047E+00  2.1960025E+00
  4.6481977E+00  2.1748910E+00
  4.6482906E+00  2.2034190E+00
  4.6483836E+00  2.1941435E+00
  4.6484766E+00  2.2199397E+00
  4.6485696E+00  2.2405341E+00
  4.6486626E+00  2.1547012E+00
  4.6487556E+00  2.1606278E+00
  4.6488485E+00  2.2081065E+00
  4.6489415E+00  2.3041120E+00
  4.6490345E+00  2.3976686E+00
  4.6491275E+00  2.4085786E+00
  4.6492205E+00  2.3950713E+00
  4.6493134E+00  2.3156114E+00
  4.6494064E+00  2.3639393E+00
  4.6494994E+00  2.3631561E+00
  4.6495924E+00  2.3666942E+00
  4.6496854E+00  2.3185480E+00
  4.6497784E+00  2.2793343E+00
