        4647           2          22
Thu Jan  7 12:05:02 2010
nirspec_hd36112_glue.dat

Full Nirspec spectrum of hd36112, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
done

Included data files, index, atm. transm cutoff, scale factor:
hd36112_cop_dec09.dat 1 0.700000 1.14000
hd36112_cop+_dec09.dat 1 0.700000 1.10000
hd36112_coice_dec09.dat 2 0.700000 0.720000
hd36112_coice+_dec09.dat 2 0.700000 0.800000
hd36112_cop_oct09.dat 3 0.700000 1.14000
hd36112_cop+_oct09.dat 3 0.700000 1.00000

     Wavelength     Flux
         um          Jy
 
  4.6466637E+00           -NaN
  4.6467566E+00  2.9443712E+00
  4.6468496E+00  2.9175496E+00
  4.6469426E+00  2.8907275E+00
  4.6470356E+00  2.9060369E+00
  4.6471286E+00  2.9184835E+00
  4.6472211E+00  2.8909662E+00
  4.6473141E+00  2.9021442E+00
  4.6474071E+00           -NaN
  4.6475000E+00  2.9604626E+00
  4.6475930E+00  2.9705784E+00
  4.6476860E+00  2.9937000E+00
  4.6477790E+00  2.9850082E+00
  4.6478720E+00  2.9570830E+00
  4.6479650E+00  2.9902589E+00
  4.6480579E+00  2.9450412E+00
  4.6481509E+00  2.9312751E+00
  4.6482439E+00  2.8923044E+00
  4.6483369E+00  2.9195387E+00
  4.6484299E+00  2.9299397E+00
  4.6485229E+00  2.9421628E+00
  4.6486158E+00           -NaN
  4.6487088E+00           -NaN
  4.6488018E+00           -NaN
  4.6488948E+00           -NaN
  4.6489878E+00           -NaN
  4.6490808E+00           -NaN
  4.6491737E+00           -NaN
  4.6492667E+00           -NaN
  4.6493597E+00           -NaN
  4.6494527E+00           -NaN
  4.6495457E+00           -NaN
  4.6496387E+00           -NaN
  4.6497316E+00  3.1269765E+00
  4.6498246E+00  3.1068606E+00
  4.6499176E+00  3.0718110E+00
  4.6500106E+00  3.0374930E+00
  4.6501036E+00  2.9893913E+00
  4.6501966E+00  2.9652410E+00
  4.6502895E+00  2.9649198E+00
  4.6503825E+00  2.9766619E+00
