        4636           2          20
Wed Nov 19 17:50:21 2008
nirspec_citau_glue.dat

Full Nirspec spectrum of citau, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
done

Included data files, index, atm. transm cutoff, scale factor:
citau_coice_oct08.dat 1 0.700000 2.73557
citau_coice+_oct08.dat 1 0.700000 1.06687
citau_cop_oct08.dat 2 0.700000 0.986548
citau_cop+_oct08.dat 2 0.700000 2.76234

     Wavelength     Flux
         um          Jy
 
  4.6504784E+00  1.8073303E+00
  4.6505713E+00  1.7878370E+00
  4.6506643E+00  1.7646475E+00
  4.6507573E+00  1.7289256E+00
  4.6508503E+00  1.7573930E+00
  4.6509433E+00  1.7703170E+00
  4.6510363E+00  1.7982510E+00
  4.6511292E+00  1.8070265E+00
  4.6512227E+00  1.8339542E+00
  4.6513157E+00  1.7976704E+00
  4.6514087E+00  1.7773566E+00
  4.6515017E+00  1.8000582E+00
  4.6515946E+00  1.8540114E+00
  4.6516876E+00  1.9209490E+00
  4.6517806E+00  1.9533765E+00
  4.6518736E+00  1.9575924E+00
  4.6519666E+00  2.0055172E+00
  4.6520596E+00  2.0515158E+00
  4.6521530E+00  2.0568717E+00
  4.6522460E+00  2.0892966E+00
  4.6523390E+00  2.1040726E+00
  4.6524320E+00  2.0801909E+00
  4.6525249E+00  2.0960865E+00
  4.6526179E+00  2.1314335E+00
  4.6527109E+00  2.0936751E+00
  4.6528044E+00  2.0930200E+00
  4.6528974E+00  2.0778818E+00
  4.6529903E+00  2.0817773E+00
  4.6530833E+00  2.1231813E+00
  4.6531763E+00  2.1780360E+00
  4.6532693E+00  2.1336007E+00
  4.6533628E+00  2.1068630E+00
  4.6534557E+00  2.0713110E+00
  4.6535487E+00  2.0344357E+00
  4.6536417E+00  2.0311184E+00
  4.6537347E+00  2.0360808E+00
  4.6538277E+00  2.0255888E+00
  4.6539211E+00  2.0037591E+00
  4.6540141E+00  2.0469978E+00
  4.6541071E+00  2.0167406E+00
  4.6542001E+00  2.0245059E+00
  4.6542931E+00  2.0107353E+00
