        5144           2          29
Thu Aug 28 19:58:53 2008
nirspec_lkha330_glue.dat

Full Nirspec spectrum of lkha330, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
looks good

Included data files, index, atm. transm cutoff, scale factor:
lkha330_coice_dec02.dat 1 0.400000 1.00403
lkha330_cop_dec02.dat 2 0.400000 1.38048
lkha330_cop+_dec02.dat 2 0.500000 1.24244
lkha330_coice_nov03_1.dat 3 0.500000 0.443359
lkha330_coice+_nov03_1.dat 3 0.650000 0.487695
lkha330_coice_nov03_2.dat 4 0.550000 0.765795
lkha330_coice+_nov03_2.dat 4 0.650000 0.689216
lkha330_coice_dec04.dat 5 0.600000 0.949609
lkha330_coice+_dec04.dat 5 0.700000 1.00659
lkha330_cop_dec04.dat 6 0.400000 1.19617
lkha330_cop+_dec04.dat 6 0.700000 1.28074
lkha330_13coice_dec04.dat 7 0.500000 1.39263
lkha330_13coice+_dec04.dat 7 0.800000 1.53190

     Wavelength     Flux
         um          Jy
 
  4.6467423E+00  1.1574421E+00
  4.6468353E+00  1.1179739E+00
  4.6469283E+00  1.1091161E+00
  4.6470213E+00  1.1201230E+00
  4.6471143E+00  1.1081879E+00
  4.6472073E+00  1.0905986E+00
  4.6472998E+00  1.0477498E+00
  4.6473927E+00  1.0530059E+00
  4.6474857E+00  1.0965662E+00
  4.6475787E+00  1.1028552E+00
  4.6476717E+00  1.1084970E+00
  4.6477647E+00  1.1236172E+00
  4.6478577E+00  1.1163955E+00
  4.6479506E+00  1.1134833E+00
  4.6480436E+00  1.1076995E+00
  4.6481366E+00  1.0939691E+00
  4.6482296E+00  1.1046321E+00
  4.6483226E+00  1.1196072E+00
  4.6484156E+00  1.1039366E+00
  4.6485085E+00  1.1082790E+00
  4.6486015E+00  1.1177502E+00
  4.6486945E+00  1.1115510E+00
  4.6487875E+00  1.0864244E+00
  4.6488805E+00  1.0929501E+00
  4.6489735E+00  1.0503029E+00
  4.6490664E+00  1.0942720E+00
  4.6491594E+00  1.1219908E+00
  4.6492524E+00  1.1354330E+00
