        4651           2          24
Thu Aug 28 19:59:29 2008
nirspec_uxtau_glue.dat

Full Nirspec spectrum of uxtau, different settings combined.
Poor atmosphere is indicated with NaNs.
Wavelength scale corrected for earth motion in direction of science target..
..assuming V_helio of science target is 0.0 km/s. Add V_helio of science...
..target to transform to target rest frame.
 
 

Included data files, index, atm. transm cutoff, scale factor:
uxtau_coice_dec06.dat 1 0.600000 1.37844
uxtau_coice+_dec06.dat 1 0.600000 1.44736
uxtau_cop_dec06.dat 2 0.700000 1.03596
uxtau_cop+_dec06.dat 2 0.600000 1.10996
uxtau_coice_oct07.dat 3 0.500000 0.669712
uxtau_coice+_oct07.dat 3 0.500000 0.703198
uxtau_cop_oct07.dat 4 0.600000 0.925092
uxtau_cop+_oct07.dat 4 0.600000 1.03837

     Wavelength     Flux
         um          Jy
 
  4.6469221E+00  3.9983794E-01
  4.6470151E+00  4.0629396E-01
  4.6471081E+00  4.2538604E-01
  4.6472011E+00  4.2702398E-01
  4.6472940E+00  4.2745924E-01
  4.6473870E+00  4.2862955E-01
  4.6474795E+00  4.1881564E-01
  4.6475725E+00  4.3209624E-01
  4.6476655E+00  4.3180370E-01
  4.6477585E+00  4.2780009E-01
  4.6478515E+00  4.2947844E-01
  4.6479445E+00  4.1978037E-01
  4.6480374E+00  4.2445770E-01
  4.6481304E+00  4.3038949E-01
  4.6482234E+00  4.2134258E-01
  4.6483164E+00  4.2081261E-01
  4.6484094E+00  4.2369720E-01
  4.6485023E+00  4.2039484E-01
  4.6485953E+00  4.0698498E-01
  4.6486883E+00  4.2937294E-01
  4.6487813E+00  4.2372802E-01
  4.6488743E+00  4.3265474E-01
  4.6489673E+00  4.2399782E-01
  4.6490602E+00  4.1733417E-01
  4.6491532E+00  4.2713964E-01
  4.6492462E+00  4.3357939E-01
  4.6493392E+00  4.3803874E-01
  4.6494322E+00  4.3631670E-01
  4.6495252E+00  4.3817437E-01
  4.6496181E+00  4.3792063E-01
  4.6497111E+00  4.2601144E-01
  4.6498041E+00  4.2431319E-01
  4.6498971E+00  4.1872588E-01
  4.6499901E+00  4.1418266E-01
  4.6500831E+00  4.0686917E-01
